Date,Open,High,Low,Close,Adj Close,Volume
2021-03-09,90.000000,94.000000,83.000000,88.000000,88.000000,5428599500
2021-03-10,88.000000,91.000000,87.000000,91.000000,91.000000,1377099800
2021-03-12,91.000000,95.000000,91.000000,92.000000,92.000000,1737388500
2021-03-15,92.000000,93.000000,89.000000,91.000000,91.000000,842047800
2021-03-16,91.000000,92.000000,86.000000,87.000000,87.000000,1975052300
2021-03-17,87.000000,90.000000,85.000000,88.000000,88.000000,1211258900
2021-03-18,88.000000,89.000000,83.000000,83.000000,83.000000,1956603000
2021-03-19,83.000000,83.000000,81.000000,81.000000,81.000000,728141900
2021-03-22,81.000000,85.000000,80.000000,82.000000,82.000000,684327600
2021-03-23,83.000000,85.000000,78.000000,79.000000,79.000000,848998900
2021-03-24,79.000000,81.000000,76.000000,79.000000,79.000000,737692700
2021-03-25,79.000000,80.000000,74.000000,78.000000,78.000000,1286121700
2021-03-26,78.000000,81.000000,76.000000,80.000000,80.000000,496845900
2021-03-29,81.000000,82.000000,79.000000,80.000000,80.000000,309326400
2021-03-30,79.000000,81.000000,77.000000,78.000000,78.000000,467517600
2021-03-31,77.000000,79.000000,76.000000,77.000000,77.000000,306393700
2021-04-01,77.000000,80.000000,77.000000,80.000000,80.000000,256955100
2021-04-05,80.000000,82.000000,78.000000,79.000000,79.000000,634270700
2021-04-06,80.000000,81.000000,78.000000,81.000000,81.000000,396347300
2021-04-07,81.000000,82.000000,80.000000,81.000000,81.000000,204356500
2021-04-08,81.000000,87.000000,81.000000,85.000000,85.000000,2152352000
2021-04-09,85.000000,86.000000,83.000000,84.000000,84.000000,575289800
2021-04-12,84.000000,85.000000,79.000000,80.000000,80.000000,781919100
2021-04-13,80.000000,82.000000,79.000000,81.000000,81.000000,335230300
2021-04-14,81.000000,89.000000,81.000000,88.000000,88.000000,1887240800
2021-04-15,89.000000,93.000000,88.000000,90.000000,90.000000,1379595700
2021-04-16,93.000000,97.000000,92.000000,95.000000,95.000000,3295158500
2021-04-19,98.000000,99.000000,89.000000,89.000000,89.000000,2652792900
2021-04-20,89.000000,92.000000,87.000000,91.000000,91.000000,675665900
2021-04-21,91.000000,92.000000,89.000000,91.000000,91.000000,773045100
2021-04-22,92.000000,92.000000,87.000000,87.000000,87.000000,1384631500
2021-04-23,87.000000,87.000000,81.000000,82.000000,82.000000,1595158300
2021-04-26,82.000000,84.000000,79.000000,82.000000,82.000000,528465000
2021-04-27,82.000000,84.000000,81.000000,82.000000,82.000000,406866200
2021-04-28,82.000000,88.000000,82.000000,86.000000,86.000000,1301613200
2021-04-29,86.000000,87.000000,85.000000,85.000000,85.000000,285139200
2021-04-30,85.000000,86.000000,83.000000,84.000000,84.000000,998729800
2021-05-03,84.000000,86.000000,82.000000,83.000000,83.000000,597071600
2021-05-04,83.000000,85.000000,82.000000,85.000000,85.000000,376985000
2021-05-05,85.000000,87.000000,83.000000,85.000000,85.000000,985499900
2021-05-06,85.000000,86.000000,84.000000,85.000000,85.000000,425746500
2021-05-07,85.000000,86.000000,83.000000,83.000000,83.000000,253180400
2021-05-10,83.000000,84.000000,82.000000,83.000000,83.000000,299221100
2021-05-11,83.000000,83.000000,82.000000,82.000000,82.000000,174790000
2021-05-17,82.000000,82.000000,77.000000,77.000000,77.000000,1018121500
2021-05-18,78.000000,79.000000,74.000000,78.000000,78.000000,519255300
2021-05-19,79.000000,83.000000,78.000000,80.000000,80.000000,785769700
2021-05-20,80.000000,85.000000,80.000000,84.000000,84.000000,865106100
2021-05-21,85.000000,85.000000,83.000000,83.000000,83.000000,228411500
2021-05-24,83.000000,85.000000,82.000000,84.000000,84.000000,558397700
2021-05-25,85.000000,85.000000,82.000000,83.000000,83.000000,527329400
2021-05-27,82.000000,90.000000,82.000000,90.000000,90.000000,1962629200
2021-05-28,91.000000,93.000000,88.000000,89.000000,89.000000,1236830700
